"spec","pool","target_h","method","n","did","se","p","ci_lo","ci_hi","max_smd","n_viol","db"
"primary","yet_untreated",6,"psm",5988,-0.00903473613894456,0.0028751814031189,0.00168024243218357,-0.0146700916890576,-0.00339938058883152,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",6,"psm_dr",5988,-0.0102339826687066,0.00289352517337582,0.000406451338537028,-0.0159052920085233,-0.00456267332889004,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",12,"psm",5493,-0.00540688148552704,0.00389100892475218,0.164683578159894,-0.0130332589780413,0.00221949600698724,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",12,"psm_dr",5493,-0.00746158046082597,0.00389702224101132,0.0555582967269408,-0.0150997440532082,0.000176583131556216,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",18,"psm",5680,-0.00691901408450704,0.0045344383595093,0.127067306178579,-0.0158065132691453,0.00196848510013118,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",18,"psm_dr",5680,-0.0104513709354259,0.00448080304346927,0.0196929803022876,-0.0192337449006257,-0.00166899697022617,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",24,"psm",5457,-0.00496609858896829,0.00530226850129123,0.348985670571535,-0.0153585448514991,0.00542634767356252,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",24,"psm_dr",5457,-0.0103435984988421,0.0052189759395568,0.0475131242719765,-0.0205727913403734,-0.000114405657310742,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",30,"psm",5536,-0.0102781791907514,0.00573550185598982,0.0731558014019364,-0.0215197628284915,0.000963404446988591,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",30,"psm_dr",5536,-0.0164612508218725,0.00562664163840012,0.00344501174170716,-0.0274894684331367,-0.00543303321060828,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",36,"psm",5048,-0.00972662440570522,0.00646799722985998,0.132662158959498,-0.0224038989762308,0.00295065016482034,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",36,"psm_dr",5048,-0.0162378048916887,0.00635971033557055,0.0106874674584103,-0.028702837149407,-0.00377277263397043,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",42,"psm",4777,-0.00782918149466181,0.00709007321728153,0.269514469599501,-0.0217257250005336,0.00606736201120999,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",42,"psm_dr",4777,-0.0145682251508499,0.00695239672652595,0.0361595014575582,-0.0281949227348407,-0.000941527566858986,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",48,"psm",4423,-0.000633054487904191,0.00787472393984344,0.935928350533975,-0.0160675134099973,0.014801404434189,0.11178583277414,1,"MIMIC"
"primary","yet_untreated",48,"psm_dr",4423,-0.00781777465336943,0.0077173796485967,0.311083601836197,-0.022943838764619,0.00730828945788011,0.11178583277414,1,"MIMIC"
"sens_a","yet_untreated",6,"psm",5995,-0.0121601334445371,0.00301558098271272,5.55437621177779e-05,-0.018070672170654,-0.00624959471842019,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",6,"psm_dr",5995,-0.0100798434916085,0.00305102874553052,0.000956797899752726,-0.0160598598328483,-0.00409982715036866,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",12,"psm",5515,-0.00884859474161378,0.00421277694215275,0.0357146899547341,-0.0171056375482332,-0.000591551934994381,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",12,"psm_dr",5515,-0.00580501455480047,0.00423195717259812,0.170181908650376,-0.0140996506130928,0.00248962150349184,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",18,"psm",5699,-0.0116862607474996,0.00488218898281976,0.0166976466896831,-0.0212553511538263,-0.00211717034117282,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",18,"psm_dr",5699,-0.00753593974725509,0.00489155004348766,0.123441066260238,-0.0171233778324909,0.00205149833798072,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",24,"psm",5478,-0.0120847024461482,0.00576007914063556,0.0359271291639505,-0.0233744575617939,-0.000794947330502543,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",24,"psm_dr",5478,-0.00616631554330601,0.00579477844958708,0.287299696764451,-0.0175240813044967,0.00519145021788467,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",30,"psm",5345,-0.0146304957904584,0.00647774216579604,0.0239296243500265,-0.0273268704354186,-0.00193412114549815,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",30,"psm_dr",5345,-0.00926144657879065,0.00649898279171234,0.154168803016412,-0.0219994528505468,0.00347655969296554,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",36,"psm",4730,-0.0130655391120507,0.00742908324536073,0.0786605745696796,-0.0276265422729578,0.00149546404885629,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",36,"psm_dr",4730,-0.00766742122357641,0.00745471074443419,0.303725168680469,-0.0222786542826674,0.0069438118355146,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",42,"psm",4368,-0.0122710622710623,0.0083254614489611,0.140539232497229,-0.028588966711026,0.0040468421689015,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",42,"psm_dr",4368,-0.00681167847833989,0.00831621224717988,0.412760713329221,-0.0231114544828125,0.00948809752613268,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",48,"psm",4013,-0.0084475454771991,0.00923045235181928,0.360123500901824,-0.0265392320867649,0.00964414113236669,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",48,"psm_dr",4013,-0.00161433640304276,0.00926641324343553,0.86170189539955,-0.0197765063601764,0.0165478335540909,0.194544578507127,7,"MIMIC"
"sens_b","yet_untreated",6,"psm",6033,-0.0104425658876181,0.00291472308483446,0.000341406081500961,-0.0161554231338936,-0.00472970864134256,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",6,"psm_dr",6033,-0.0104425658876181,0.00291472308483446,0.000341406081500961,-0.0161554231338936,-0.00472970864134256,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",12,"psm",5544,-0.00936147186147186,0.00394005162634146,0.0175194477369096,-0.0170839730491011,-0.0016389706738426,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",12,"psm_dr",5544,-0.00936147186147186,0.00394005162634146,0.0175194477369096,-0.0170839730491011,-0.0016389706738426,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",18,"psm",5672,-0.0122179125528914,0.00462856874717441,0.00830993541718874,-0.0212899072973532,-0.00314591780842955,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",18,"psm_dr",5672,-0.0122179125528914,0.00462856874717441,0.00830993541718874,-0.0212899072973532,-0.00314591780842955,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",24,"psm",5468,-0.0112838332114118,0.00536614123425185,0.0355074977945746,-0.0218014700305455,-0.000766196392278228,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",24,"psm_dr",5468,-0.0112838332114118,0.00536614123425185,0.0355074977945746,-0.0218014700305455,-0.000766196392278228,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",30,"psm",5559,-0.0146249325418241,0.00584725169415512,0.0123928713256041,-0.0260855458623681,-0.00316431922128005,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",30,"psm_dr",5559,-0.0146249325418241,0.00584725169415512,0.0123928713256041,-0.0260855458623681,-0.00316431922128005,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",36,"psm",5077,-0.0132952531022257,0.00649651019123275,0.0407307083081917,-0.0260284130770419,-0.000562093127409515,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",36,"psm_dr",5077,-0.0132952531022257,0.00649651019123275,0.0407307083081917,-0.0260284130770419,-0.000562093127409515,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",42,"psm",4812,-0.00800083125519533,0.0071296755934737,0.261810822148162,-0.0219749954184038,0.00597333290801313,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",42,"psm_dr",4812,-0.00800083125519533,0.0071296755934737,0.261810822148162,-0.0219749954184038,0.00597333290801313,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",48,"psm",4497,-0.00475872804091616,0.00777537900887825,0.54053654672166,-0.0199984708983175,0.0104810148164852,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",48,"psm_dr",4497,-0.00475872804091616,0.00777537900887825,0.54053654672166,-0.0199984708983175,0.0104810148164852,0.0780463890666218,0,"MIMIC"
